system:index,after_period,before_period,event_name,flood_class,flooded_area_m2,flooded_share,lsoa21cd,lsoa_area_m2,.geo
00000000000000001788,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01022398,1.6449636E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001797,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01022414,1057879.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000175e,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01022354,2.9130686E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000178d,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01022403,979843.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000178c,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01022402,299178.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001774,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01022377,710838.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001795,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01022411,2074034.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000177f,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01022389,3769167.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001773,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01022376,1.9618869E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000016e4,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0-1%,22018.0,0.0010967282308146275,E01022228,2.007643E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001781,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01022391,1.7384254E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001786,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0-1%,18279.0,8.934042893915441E-4,E01022396,2.045991E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000016cd,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01022201,6.9424302E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001780,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01022390,1175259.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001787,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0-1%,42919.0,0.002872630211557088,E01022397,1.49407E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001782,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01022392,2.7680791E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000044b6,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01034802,2350257.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000016bf,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01022187,6.2706347E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000044b5,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01034801,2.0998438E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000044b4,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01034800,2.1822071E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000044b2,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01034798,598521.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001709,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01022265,1.4343802E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000044b1,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01034797,822696.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001776,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01022379,204078.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000044b0,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01034796,186834.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001751,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01022338,169653.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000044af,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01034795,350149.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001750,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01022336,335137.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003e4e,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01032933,524191.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000172c,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01022300,304836.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003e4f,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01032935,210231.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000174f,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01022335,369340.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001753,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01022340,167950.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001758,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01022345,957868.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001740,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01022320,1815048.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001759,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01022346,174751.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000172b,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01022299,461295.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001754,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01022341,504218.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000172e,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01022302,316529.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001775,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01022378,8602199.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000170a,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0-1%,38032.0,0.001390863434744947,E01022266,2.7344283E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000173f,2024-01-02 to 2024-01-20,2023-11-01 to 2023-12-25,Storm Henk,0,0.0,0.0,E01022319,153420.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
