lsoa21cd,lsoa21nm,msoa21cd,msoa21nm,ladcd,ladnm,quarter,post_event,treated,flooded_share,flooded_area_m2,lsoa_area_m2,flood_class,event_name,before_period,after_period,tx_count,avg_price,median_price,total_value,new_build_count,new_build_share,freehold_count,freehold_share,leasehold_count,leasehold_share,detached_tx_count,detached_tx_share,detached_avg_price,detached_median_price,semi_tx_count,semi_tx_share,semi_avg_price,semi_median_price,terraced_tx_count,terraced_tx_share,terraced_avg_price,terraced_median_price,flats_tx_count,flats_tx_share,flats_avg_price,flats_median_price,other_tx_count,other_tx_share,other_avg_price,other_median_price
E01022102,Cheltenham 008C,E02004607,Cheltenham 008,E07000078,Cheltenham,2019Q1,0,0,0.0,0,250212,0,Storm Henk,2023-11-01 to 2023-12-25,2024-01-02 to 2024-01-20,19,245026,213500,4655500,2,0.105263,9,0.473684,10,0.526316,0,0.0,0,0,2,0.105263,294750,294750,4,0.210526,398750,352500,9,0.473684,206500,185000,4,0.210526,153125,121250
E01022102,Cheltenham 008C,E02004607,Cheltenham 008,E07000078,Cheltenham,2019Q2,0,0,0.0,0,250212,0,Storm Henk,2023-11-01 to 2023-12-25,2024-01-02 to 2024-01-20,18,272508,191000,4905136,0,0.0,8,0.444444,10,0.555556,0,0.0,0,0,3,0.166667,494167,397500,3,0.166667,335833,260000,10,0.555556,155514,142068,2,0.111111,430000,430000
E01022102,Cheltenham 008C,E02004607,Cheltenham 008,E07000078,Cheltenham,2019Q3,0,0,0.0,0,250212,0,Storm Henk,2023-11-01 to 2023-12-25,2024-01-02 to 2024-01-20,10,205570,187800,2055700,0,0.0,3,0.3,7,0.7,0,0.0,0,0,0,0.0,0,0,3,0.3,232700,232500,7,0.7,193943,172500,0,0.0,0,0
E01022102,Cheltenham 008C,E02004607,Cheltenham 008,E07000078,Cheltenham,2019Q4,0,0,0.0,0,250212,0,Storm Henk,2023-11-01 to 2023-12-25,2024-01-02 to 2024-01-20,18,694567,216000,12502200,0,0.0,7,0.388889,11,0.611111,0,0.0,0,0,0,0.0,0,0,1,0.055556,217000,217000,11,0.611111,182495,175000,6,0.333333,1712958,477500
E01022102,Cheltenham 008C,E02004607,Cheltenham 008,E07000078,Cheltenham,2020Q1,0,0,0.0,0,250212,0,Storm Henk,2023-11-01 to 2023-12-25,2024-01-02 to 2024-01-20,14,357571,271000,5006000,0,0.0,8,0.571429,6,0.428571,0,0.0,0,0,0,0.0,0,0,7,0.5,357929,330000,5,0.357143,153700,155000,2,0.142857,866000,866000
E01022102,Cheltenham 008C,E02004607,Cheltenham 008,E07000078,Cheltenham,2020Q2,0,0,0.0,0,250212,0,Storm Henk,2023-11-01 to 2023-12-25,2024-01-02 to 2024-01-20,11,249773,155000,2747500,0,0.0,3,0.272727,8,0.727273,2,0.181818,630000,630000,1,0.090909,370000,370000,0,0.0,0,0,8,0.727273,139688,142750,0,0.0,0,0
E01022102,Cheltenham 008C,E02004607,Cheltenham 008,E07000078,Cheltenham,2020Q3,0,0,0.0,0,250212,0,Storm Henk,2023-11-01 to 2023-12-25,2024-01-02 to 2024-01-20,6,217083,171250,1302500,0,0.0,2,0.333333,4,0.666667,0,0.0,0,0,0,0.0,0,0,2,0.333333,281250,281250,4,0.666667,185000,152500,0,0.0,0,0
E01022102,Cheltenham 008C,E02004607,Cheltenham 008,E07000078,Cheltenham,2020Q4,0,0,0.0,0,250212,0,Storm Henk,2023-11-01 to 2023-12-25,2024-01-02 to 2024-01-20,19,225526,189500,4285000,0,0.0,5,0.263158,14,0.736842,0,0.0,0,0,2,0.105263,251500,251500,3,0.157895,422833,477500,13,0.684211,186808,165000,1,0.052632,85000,85000
E01022102,Cheltenham 008C,E02004607,Cheltenham 008,E07000078,Cheltenham,2021Q1,0,0,0.0,0,250212,0,Storm Henk,2023-11-01 to 2023-12-25,2024-01-02 to 2024-01-20,19,215471,160000,4093950,0,0.0,7,0.368421,12,0.631579,1,0.052632,650000,650000,0,0.0,0,0,5,0.263158,304000,267000,13,0.684211,147996,126700,0,0.0,0,0
E01022102,Cheltenham 008C,E02004607,Cheltenham 008,E07000078,Cheltenham,2021Q2,0,0,0.0,0,250212,0,Storm Henk,2023-11-01 to 2023-12-25,2024-01-02 to 2024-01-20,32,366452,205000,11726450,0,0.0,12,0.375,20,0.625,2,0.0625,1137500,1137500,0,0.0,0,0,7,0.21875,351357,315000,19,0.59375,181155,170000,4,0.125,887500,827500
