lsoa21cd,lsoa21nm,msoa21cd,msoa21nm,ladcd,ladnm,year,post_event,treated,flooded_share,flooded_area_m2,lsoa_area_m2,flood_class,event_name,before_period,after_period,tx_count,avg_price,median_price,total_value,new_build_count,new_build_share,freehold_count,freehold_share,leasehold_count,leasehold_share,detached_tx_count,detached_tx_share,detached_avg_price,detached_median_price,semi_tx_count,semi_tx_share,semi_avg_price,semi_median_price,terraced_tx_count,terraced_tx_share,terraced_avg_price,terraced_median_price,flats_tx_count,flats_tx_share,flats_avg_price,flats_median_price,other_tx_count,other_tx_share,other_avg_price,other_median_price
E01022102,Cheltenham 008C,E02004607,Cheltenham 008,E07000078,Cheltenham,2019,0,0,0.0,0,250212,0,Storm Henk,2023-11-01 to 2023-12-25,2024-01-02 to 2024-01-20,65,371054,210000,24118536,2,0.030769,27,0.415385,38,0.584615,0,0.0,0,0,5,0.076923,414400,395000,11,0.169231,319782,260000,37,0.569231,183208,170000,12,0.184615,979188,351000
E01022102,Cheltenham 008C,E02004607,Cheltenham 008,E07000078,Cheltenham,2020,0,0,0.0,0,250212,0,Storm Henk,2023-11-01 to 2023-12-25,2024-01-02 to 2024-01-20,50,266820,188500,13341000,0,0.0,18,0.36,32,0.64,2,0.04,630000,630000,3,0.06,291000,263000,12,0.24,361375,345000,30,0.6,168483,155000,3,0.06,605667,292000
E01022102,Cheltenham 008C,E02004607,Cheltenham 008,E07000078,Cheltenham,2021,0,0,0.0,0,250212,0,Storm Henk,2023-11-01 to 2023-12-25,2024-01-02 to 2024-01-20,93,301348,190000,28025350,0,0.0,35,0.376344,58,0.623656,3,0.032258,975000,775000,4,0.043011,505000,492500,22,0.236559,311364,255750,55,0.591398,158006,150000,9,0.096774,837778,270000
E01022102,Cheltenham 008C,E02004607,Cheltenham 008,E07000078,Cheltenham,2022,0,0,0.0,0,250212,0,Storm Henk,2023-11-01 to 2023-12-25,2024-01-02 to 2024-01-20,68,444070,226125,30196750,0,0.0,27,0.397059,41,0.602941,0,0.0,0,0,4,0.058824,524500,494000,13,0.191176,433577,395000,38,0.558824,191638,181500,13,0.191176,1167692,1100000
E01022102,Cheltenham 008C,E02004607,Cheltenham 008,E07000078,Cheltenham,2023,0,0,0.0,0,250212,0,Storm Henk,2023-11-01 to 2023-12-25,2024-01-02 to 2024-01-20,52,799161,215250,41556351,0,0.0,20,0.384615,32,0.615385,0,0.0,0,0,3,0.057692,442500,285000,5,0.096154,451055,483000,27,0.519231,247035,199950,17,0.326923,1841390,240000
E01022102,Cheltenham 008C,E02004607,Cheltenham 008,E07000078,Cheltenham,2024,1,0,0.0,0,250212,0,Storm Henk,2023-11-01 to 2023-12-25,2024-01-02 to 2024-01-20,80,319155,230000,25532400,0,0.0,42,0.525,38,0.475,0,0.0,0,0,4,0.05,413125,388750,21,0.2625,457155,360000,35,0.4375,193573,199950,20,0.25,375230,164000
E01022102,Cheltenham 008C,E02004607,Cheltenham 008,E07000078,Cheltenham,2025,1,0,0.0,0,250212,0,Storm Henk,2023-11-01 to 2023-12-25,2024-01-02 to 2024-01-20,53,260568,219500,13810105,0,0.0,21,0.396226,32,0.603774,0,0.0,0,0,2,0.037736,642500,642500,18,0.339623,368500,303750,28,0.528302,178961,173750,5,0.09434,176240,126000
E01022106,Cheltenham 010A,E02004609,Cheltenham 010,E07000078,Cheltenham,2019,0,0,0.0,0,371994,0,Storm Henk,2023-11-01 to 2023-12-25,2024-01-02 to 2024-01-20,30,260730,247500,7821887,0,0.0,27,0.9,3,0.1,2,0.066667,421250,421250,18,0.6,268910,264500,7,0.233333,238000,230000,3,0.1,157667,152000,0,0.0,0,0
E01022106,Cheltenham 010A,E02004609,Cheltenham 010,E07000078,Cheltenham,2020,0,0,0.0,0,371994,0,Storm Henk,2023-11-01 to 2023-12-25,2024-01-02 to 2024-01-20,22,270350,265000,5947700,0,0.0,20,0.909091,2,0.090909,4,0.181818,315750,320000,11,0.5,291091,270000,4,0.181818,212688,224375,3,0.136364,210650,223000,0,0.0,0,0
E01022106,Cheltenham 010A,E02004609,Cheltenham 010,E07000078,Cheltenham,2021,0,0,0.0,0,371994,0,Storm Henk,2023-11-01 to 2023-12-25,2024-01-02 to 2024-01-20,38,302971,306500,11512900,0,0.0,34,0.894737,4,0.105263,6,0.157895,364583,373750,19,0.5,323732,310000,9,0.236842,285278,303000,4,0.105263,151750,152500,0,0.0,0,0
