"lsoa21cd","tx_count","avg_price","total_value","detached_tx","semi_tx","terraced_tx","flats_tx","other_tx","detached_tx_share","semi_tx_share","terraced_tx_share","flats_tx_share","other_tx_share","period"
"E01022102","132","508248","67088751","0","7","26","62","37","0","0.05303","0.19697","0.469697","0.280303","2023-2024"
"E01022106","63","364845","22985230","12","38","10","3","0","0.190476","0.603175","0.15873","0.047619","0","2023-2024"
"E01022107","70","514683","36027806","9","23","5","32","1","0.128571","0.328571","0.071429","0.457143","0.014286","2023-2024"
"E01022108","41","507382","20802652","18","16","4","0","3","0.439024","0.390244","0.097561","0","0.073171","2023-2024"
"E01022113","50","801071","40053549","31","11","1","7","0","0.62","0.22","0.02","0.14","0","2023-2024"
"E01022114","48","960762","46116583","23","17","7","0","1","0.479167","0.354167","0.145833","0","0.020833","2023-2024"
"E01022116","57","370818","21136637","3","4","23","22","5","0.052632","0.070175","0.403509","0.385965","0.087719","2023-2024"
"E01022117","99","590665","58475830","1","4","12","56","26","0.010101","0.040404","0.121212","0.565657","0.262626","2023-2024"
"E01022118","36","588970","21202916","3","18","7","7","1","0.083333","0.5","0.194444","0.194444","0.027778","2023-2024"
"E01022119","49","510812","25029800","1","11","29","3","5","0.020408","0.22449","0.591837","0.061224","0.102041","2023-2024"
"E01022120","26","225673","5867500","0","17","4","3","2","0","0.653846","0.153846","0.115385","0.076923","2023-2024"
"E01022121","38","188389","7158800","0","9","8","21","0","0","0.236842","0.210526","0.552632","0","2023-2024"
"E01022122","14","231614","3242600","1","1","11","1","0","0.071429","0.071429","0.785714","0.071429","0","2023-2024"
"E01022123","63","281075","17707700","10","9","25","19","0","0.15873","0.142857","0.396825","0.301587","0","2023-2024"
"E01022124","43","429432","18465569","1","4","4","33","1","0.023256","0.093023","0.093023","0.767442","0.023256","2023-2024"
"E01022125","58","567134","32893750","6","7","5","40","0","0.103448","0.12069","0.086207","0.689655","0","2023-2024"
"E01022126","92","500353","46032500","4","3","9","67","9","0.043478","0.032609","0.097826","0.728261","0.097826","2023-2024"
"E01022127","142","370977","52678697","2","4","11","112","13","0.014085","0.028169","0.077465","0.788732","0.091549","2023-2024"
"E01022128","75","887393","66554500","57","15","2","0","1","0.76","0.2","0.026667","0","0.013333","2023-2024"
"E01022129","60","618745","37124722","22","29","6","3","0","0.366667","0.483333","0.1","0.05","0","2023-2024"
"E01022130","77","413559","31844005","10","22","15","25","5","0.12987","0.285714","0.194805","0.324675","0.064935","2023-2024"
"E01022135","56","540989","30295398","9","11","7","27","2","0.160714","0.196429","0.125","0.482143","0.035714","2023-2024"
"E01022136","88","455621","40094640","7","6","30","43","2","0.079545","0.068182","0.340909","0.488636","0.022727","2023-2024"
"E01022137","102","511857","52209431","4","2","39","51","6","0.039216","0.019608","0.382353","0.5","0.058824","2023-2024"
"E01022138","61","586666","35786600","15","5","16","25","0","0.245902","0.081967","0.262295","0.409836","0","2023-2024"
"E01022139","44","530589","23345927","16","14","6","6","2","0.363636","0.318182","0.136364","0.136364","0.045455","2023-2024"
"E01022141","69","473478","32670000","4","5","12","44","4","0.057971","0.072464","0.173913","0.637681","0.057971","2023-2024"
"E01022142","65","336742","21888250","3","8","40","12","2","0.046154","0.123077","0.615385","0.184615","0.030769","2023-2024"
"E01022143","60","511162","30669750","31","16","7","6","0","0.516667","0.266667","0.116667","0.1","0","2023-2024"
